노선ID,노선명
11110539,관악04(인헌동군인아파트~사랑의병원)
11110540,관악05(신림2동현대아파트~신림역)
11110541,관악06(신림3동보명사~신대방역)
11110542,관악07(청림동푸르지오아파트~서울대입구역)
11110543,관악08(난향동공영차고지~신림역)
11110544,광진02(긴고랑~군자역)
11110545,광진03(소아청소년진료소~강변역)
11110546,광진04(중곡아파트~강변역)
11110547,구로10(대림역~중앙하이츠)
11110548,구로05(오류중학교~개봉역)
11110549,구로07(오류동역~항동지구)
11110550,구로08(개봉역~오류1동주민센터)
11110551,구로09(동아아파트~구로디지털단지역)
11110552,구로12(개봉역~거성아파트)
11110553,구로01(개봉역~금옥여고)
11110554,구로02(개봉역~개봉중학교)
11110555,구로03(개봉한진아파트~개봉역)
11110556,구로04(천왕이펜하우스5단지입구~개봉역)
11110557,구로13(구로1동주민센터~구로중학교)
11110560,금천02(벽산3단지~안천중학교)
11110562,금천03(가산디지털단지역~구로디지털단지역)
11110563,금천04(성채안로입구삼거리~금천구청역)
11110564,노원01(보람사거리~상계역)
11110566,노원11(수락현대아파트~상계역)
11110568,노원02(수락리버시티아파트단지~노원구청)
11110569,노원03(석계역~하계역)
11110570,노원04(석계역~공릉현대아파트)
11110571,노원05(온곡초등학교~창동역)
11110574,노원08(상계8동주민센터~창동역)
11110575,노원09(근로복지아파트~삼창아파트)
11110578,도봉08(창동역~무수골)
11110579,도봉09(창동역~도봉산역)
11110581,도봉01(법종사~창동역)
11110582,도봉02(우이동도선사입구~수유역)
11110583,영등포07(대방역~대영초중고교)
11110584,도봉03(꽃동네~수유역)
11110585,도봉04(동익아파트~수유역)
11110586,도봉05(한일병원~우이동도선사입구)
11110587,도봉06(한일병원~방학동벽산아파트)
11110588,도봉07(도봉여성센터~창2동건영아파트)
11110590,동대문01(회기역~경희대)
11110591,동대문02(회기역~외대)
11110595,동작02(사자암~노량진역)
11110596,동작15(자이아파트~이수역)
11110597,동작07(삼성래미안.롯데캐슬~갯마을)
11110598,동작16(삼성래미안.롯데캐슬~사당역)
11110599,동작17(극동아파트~이수힐스테이트)
11110600,동작18(극동아파트~사당역)
11110601,동작09(사당3동주민센터~사당역)
11110602,동작01(달마사~대방역)
11110603,동작10(노들역~상도역)
